callsign,Column1,icao24,origin,destination,firstseen
RPA4664,,a03816,KIAH,KPHL,2/29/2020
NKS731,,a8cf70,KORD,KLAX,2/29/2020
KLM194,,485789,KIAH,EHAM,2/29/2020
JBU69,,a8bc71,KBOS,KFLL,2/29/2020
AAL2586,,adc17b,KLAX,KORD,2/29/2020
AAL1956,,a0dae2,KSFO,KAKH,2/29/2020
DAL436,,ac6364,KSEA,KATL,2/29/2020
UAL1247,,ac121a,KDCA,KIAH,2/29/2020
UAL423,,aac954,KIAH,KLAS,2/29/2020
AMX687,,0d0760,KORD,,2/29/2020
ASA6,,acd650,KLAX,KDCA,2/29/2020
UAL653,,aab001,KLAX,KIAD,2/29/2020
DAL3040,,a8df06,KSFO,KATL,2/29/2020
JZA105,,c062b8,KIAH,CYYC,2/29/2020
UAL1834,,a5ea5c,KORD,KLAS,2/29/2020
SWA2763,,abc058,KLAX,KATL,2/29/2020
ASH6326,,ac2b8e,KDTW,KIAH,2/29/2020
DAL592,,a968df,KSFO,KJFK,2/29/2020
SKW3322,,a178ae,KLAX,KDAL,2/29/2020
SKW5456,,a05cc7,KDFW,KSFO,2/29/2020
AAL386,,aa6ed1,KSEA,KPHX,2/29/2020
UAL242,,a64321,KSFO,KBOS,2/29/2020
DAL2959,,a8d600,KLAX,KDTW,2/29/2020
DAL1928,,a34e97,KATL,KSLC,2/29/2020
AAL20,,aabbc9,KDFW,EGLL,2/29/2020
DLH423,,3c4ad5,KBOS,EDDF,2/29/2020
ASA581,,a2d573,KPHX,KSEA,2/29/2020
ASA1024,,acc774,KSFO,KJFK,2/29/2020
UAL292,,aa56b5,KSFO,KMCO,2/29/2020
DAL1135,,acc23f,KATL,KSEA,2/29/2020
UAL1989,,a6c248,KORD,KIAH,2/29/2020
UAL2256,,a4e108,KIAH,KPHX,2/29/2020
AAL2460,,a10931,KDFW,KLAX,2/29/2020
DLH445,,3c6566,KATL,EDDF,2/29/2020
SKW5212,,ad9b94,KIAH,KDEN,2/29/2020
TAM8165,,e4906a,KBOS,SBGR,2/29/2020
UAL871,,a2e014,KSFO,RCTP,2/29/2020
AAL70,,aaffa2,KDFW,EDDF,2/29/2020
DAL1624,,a8dc10,KATL,KMSP,2/29/2020
UAL194,,a4095f,KSFO,EDDM,2/29/2020
SKW5331,,aa8c10,KORD,,2/29/2020
KLM602,,4.84E+03,KLAX,EHAM,2/29/2020
DAL832,,a9acb8,KDCA,KSLC,2/29/2020
ASA687,,a27f07,KORD,KPDX,2/29/2020
ASA1596,,a3649a,KSEA,KPSP,2/29/2020
AAL630,,ab8112,KORD,KPHX,2/29/2020
AAL1043,,ac8577,KLAX,KDFW,2/29/2020
DAL418,,a8ae7f,KATL,,2/29/2020
AAL2200,,ac7e09,KDFW,KMIA,2/29/2020
AAL1671,,a101c3,KSFO,KDFW,2/29/2020
UAL1897,,aa8a26,KLAX,KORD,2/29/2020
DAL2266,,abe579,KATL,KSFO,2/29/2020
NKS736,,a6464b,KLAX,KORD,2/29/2020
AAL2755,,a6e4e8,KSEA,KDFW,2/29/2020
JBU1581,,a1ff83,KDCA,KRSW,2/29/2020
NKS641,,a66a13,KBOS,KLAS,2/29/2020
NKS327,,a8e0a5,KIAH,KLAX,2/29/2020
DAL736,,a008c9,KDFW,KMSP,2/29/2020
BTQ774,,a95212,KPHX,CO12,2/29/2020
ASA57,,a6ee47,KSEA,PANC,2/29/2020
SWA3511,,aa922b,KDCA,KDAL,2/29/2020
UAL2144,,a8d465,KIAH,KLAX,2/29/2020
JBU291,,a79e31,KBOS,KMCF,2/29/2020
UAL958,,a8cffd,KORD,EGLL,2/29/2020
JBU534,,adafb5,KSFO,KBOS,2/29/2020
SKW4012,,aaf253,KIAH,KMSP,2/29/2020
DAL1449,,a7b4f2,KLAX,KATL,2/29/2020
SKW3508,,ab4c76,KIAH,KDTW,2/29/2020
NKS929,,a81b2a,KORD,KMCO,2/29/2020
UAL2170,,a2b810,KORD,KSEA,2/29/2020
UAL469,,ab9078,KORD,KAUS,2/29/2020
ASA745,,a2a686,KATL,KSEA,2/29/2020
EIN122,,4ca782,KORD,EIDW,2/29/2020
AAL417,,ab3982,KPHX,KISM,2/29/2020
JBU1451,,a7bbe9,KBOS,,2/29/2020
WJA1591,,c08096,KATL,CYYC,2/29/2020
ACA2415,,a1f3aa,KPHX,CYVR,2/29/2020
SWA3046,,aaa9fb,KATL,KDAL,2/29/2020
ASA2,,ace785,KSEA,KDCA,2/29/2020
ASA859,,a8321a,KLAX,KSEA,2/29/2020
AAL1885,,ada6ed,KDFW,KPHX,2/29/2020
DLH439,,3c64c4,KDFW,EDDF,2/29/2020
ASH6257,,abb5a2,KPHX,KIAH,2/29/2020
NKS245,,a91349,KORD,KLAS,2/29/2020
ASA462,,a5f3cf,KSEA,KRIR,2/29/2020
AAL1624,,ad7634,KDFW,KSAN,2/29/2020
UAL780,,a76f67,KSFO,KORD,2/29/2020
DAL1041,,a364ea,KPHX,KATL,2/29/2020
CPZ6065,,a1933c,KLAX,KIAH,2/29/2020
AAL619,,ad4c2a,KDFW,KPHL,2/29/2020
ASA1357,,a28de3,KBOS,KSFO,2/29/2020
ASA622,,a5bb1b,KSEA,KPHX,2/29/2020
UAL496,,a60bcb,KORD,KSAN,2/29/2020
DAL2262,,a15397,KLAX,KJFK,2/29/2020
UAL58,,a1c82a,KSFO,EDDF,2/29/2020
SWA3355,,a5f5bf,KDCA,KHOU,2/29/2020
AAL2346,,ad1218,KORD,KDFW,2/29/2020
AAL883,,a13c73,KPHX,KORD,2/29/2020
UAL2200,,a2007c,KIAH,KORD,2/29/2020
AAL111,,ab385e,KBOS,KORD,2/29/2020
DLH491,,3c6571,KSEA,EDDF,2/29/2020
SAS932,,45ac49,KLAX,EKCH,2/29/2020
AAL321,,a4ce11,KPHX,KDCA,2/29/2020
BTQ553,,ab1a2d,KDFW,KABQ,2/29/2020
AAL2619,,a0541b,KBOS,KDFW,2/29/2020
UAL20,,aa441c,KIAH,EHAM,2/29/2020
SWA3488,,abd204,KPHX,KMDW,2/29/2020
UAL407,,a05648,KORD,60CO,2/29/2020
AAL685,,a1a2b6,KDCA,KPHX,2/29/2020
ASA15,,a30f85,KBOS,KSEA,2/29/2020
ASA487,,ab6cc9,KLAX,KPDX,2/29/2020
AAL32,,a01fee,KLAX,KJFK,2/29/2020
UAL880,,aa92fb,KIAH,EGLL,2/29/2020
JBU688,,ad646e,KLAX,KBOS,2/29/2020
DAL1347,,a70463,KLAX,KMSP,2/29/2020
ASA1002,,accb2b,KDCA,KSFO,2/29/2020
DAL3043,,ac671b,KSEA,KMSP,2/29/2020
SWA3592,,abc455,KATL,KSAN,2/29/2020
ASH6021,,ac53a0,KIAH,KLGA,2/29/2020
KLM254,,485b45,KATL,EHAM,2/29/2020
JBU405,,a98445,KBOS,KLGB,2/29/2020
AUA66,,440060,KORD,LOWW,2/29/2020
UAL2086,,ab618b,KIAH,KLAS,2/29/2020
BAW81V,,4007fa,KIAH,EGLL,2/29/2020
UAL2207,,a9dc5e,KSEA,KIAH,2/29/2020
UAL816,,a4cfd3,KSEA,KSFO,2/29/2020
AAL1562,,ad945a,KIAH,,2/29/2020
UPS49,,a3c2d5,PANC,KSDF,2/29/2020
UAL720,,a3efa2,KSFO,CO12,2/29/2020
DAL2163,,a3c8cb,KBOS,KDTW,2/29/2020
ANA111,,86800a,KORD,RJTK,2/29/2020
UAL1236,,ab4531,KIAH,KLAX,2/29/2020
UAL2298,,a224fa,KIAH,KCLE,2/29/2020
ASA1426,,ace175,KSEA,KJFK,2/29/2020
ASH5839,,ac9e9f,KPHX,KSNS,2/29/2020
DAL1631,,a95dba,KDCA,KLAX,2/29/2020
AAL2542,,a0d561,KBOS,KLAX,2/29/2020
WJA1101,,c07fb9,KLAX,CYYZ,2/29/2020
ENY3753,,a203a9,KDFW,KDAY,2/29/2020
NKS342,,a8aba8,KPHX,KMSP,2/29/2020
BAW4EA,,4005c0,KSEA,EGLL,2/29/2020
CPA3185,,780a29,PANC,VHHH,2/29/2020
SWA5112,,a5741d,KDCA,,2/29/2020
UAL1053,,a83781,KIAH,KEWR,2/29/2020
AIJ2981,,0d0ba5,KORD,MGGT,2/29/2020
JBU1865,,a854d0,KBOS,KRSW,2/29/2020
UAL990,,a34358,KSFO,LFPG,2/29/2020
AAL2762,,a4e307,KDFW,KSDF,2/29/2020
UAL228,,a0e6c6,KATL,KIAH,2/29/2020
SWA2531,,abc012,KBOS,KMDW,2/29/2020
AAL2319,,abca00,KPHX,KPDX,2/29/2020
JBU720,,a7167f,KATL,KJFK,2/29/2020
ENY3790,,a252a7,KDFW,,2/29/2020
SWA1257,,aa0a79,KDCA,KBNA,2/29/2020
SKW5350,,a09e47,KIAH,KBOI,2/29/2020
UAL1554,,a3a086,KDCA,KSFO,2/29/2020
SWA4899,,aa9ad9,KATL,KDEN,2/29/2020
AFR639,,39644d,KIAH,LFPG,2/29/2020
SKV7664,,c00b98,KDFW,CYYZ,2/29/2020
IBE6274,,344346,KORD,LEMD,2/29/2020
DAL1179,,a96577,KBOS,KLAX,2/29/2020
JAL1,,8682fc,KSFO,RJTK,2/29/2020
AAL1360,,a0d19e,KDCA,KDFW,2/29/2020
NKS805,,a64294,KATL,KLAS,2/29/2020
AAL215,,ab3c0d,KLAX,SBGR,2/29/2020
AAL1202,,a3ed91,KDFW,20II,2/29/2020
JBU633,,adc5ff,KBOS,KSFO,2/29/2020
QXE2809,,a83920,KPHX,KPAE,2/29/2020
DLH441,,3c4b28,KIAH,EDDF,2/29/2020
DAL1763,,a359bc,KDTW,KSLC,2/29/2020
ASQ4186,,a03331,KIAH,20II,2/29/2020
ASA3,,accee2,KDCA,KSEA,2/29/2020
JBU624,,ad6bdc,KLAX,KJFK,2/29/2020
DAL2199,,ab9a32,KBOS,KSLC,2/29/2020
DLH431,,3c4b34,KORD,EDDF,2/29/2020
VOI970,,a6598e,KDFW,KSMF,2/29/2020
DAL2076,,a3f04a,KATL,KSLC,2/29/2020
CPZ6007,,a1c997,KLAX,KSLC,2/29/2020
ICE680,,4cc2c5,KSEA,BIKF,2/29/2020
ASH5856,,aca256,KDFW,KABQ,2/29/2020
AFR681,,3965b2,KATL,LFPG,2/29/2020
KLM48,,4851b0,KORD,EHAM,2/29/2020
AAL2740,,ad2549,KDCA,KATL,2/29/2020
SKV7687,,c00fab,KBOS,CYYZ,2/29/2020
UAL1125,,aa6b9f,KIAH,KEWR,2/29/2020
RPA4390,,a04aa9,KDCA,KBNA,2/29/2020
SWA2970,,abd135,KLAX,CO12,2/29/2020
DAL2339,,a37d8d,KBOS,KMSP,2/29/2020
KLM282,,485788,KSFO,EHAM,2/29/2020
UAL2300,,aaf633,KIAH,60CO,2/29/2020
AAL2709,,a35aae,KDFW,KPSP,2/29/2020
NKS631,,a86671,KDTW,KMCF,2/29/2020
AAL1170,,ab0e4c,KBOS,KMIA,2/29/2020
UAL1027,,ab329e,KIAH,KBNA,2/29/2020
UAL2268,,a4f39b,KIAH,,2/29/2020
SKW5687,,a087fd,KSFO,KBTF,2/29/2020
SKW5598,,aacfe9,KLAX,KLAX,2/29/2020
DAL1097,,ac491d,KORD,KLGA,2/29/2020
IBE6166,,344344,KBOS,LEMD,2/29/2020
AAL2791,,a0b199,KDFW,KMCO,2/29/2020
ASQ4063,,a0a031,KIAH,KXNA,2/29/2020
AAL1011,,adeca5,KDFW,KLGA,2/29/2020
JBU932,,a137af,KIAH,KBOS,2/29/2020
DAL2854,,a3b3df,KPHX,KMSP,2/29/2020
AAL2481,,a0c075,KDFW,02PR,2/29/2020
ASA574,,a2d92a,KSEA,KSAN,2/29/2020
UAL1007,,a05a01,KIAH,SKBO,2/29/2020
SWA4658,,abb19c,KBOS,KSTL,2/29/2020
AAL1199,,a8aa87,KPHX,KDTW,2/29/2020
AAL2418,,ad5398,KDFW,KORD,2/29/2020
DAL2619,,aca228,KATL,KPHL,2/29/2020
ASA688,,a360e3,KSEA,KLAS,2/29/2020
UAL2400,,a7b1bd,KBOS,KSFO,2/29/2020
NKS656,,a69900,KLAX,7PS7,2/29/2020
AAL1693,,a9034c,KDCA,,2/29/2020
DAL2909,,a3524e,KATL,KDCA,2/29/2020
AAL2634,,a33327,KSFO,KORD,2/29/2020
AAL1991,,ad2900,KATL,KPHL,2/29/2020
KAL8243,,71be24,PANC,KATL,2/29/2020
SWA3762,,abd60b,KSEA,KOAK,2/29/2020
ENY4165,,a238a6,KDFW,KOMA,2/29/2020
QXE2897,,a842e7,KSFO,KSNA,2/29/2020
DAL885,,ac820f,KATL,KGRR,2/29/2020
SKW3256,,a9cca5,KPHX,,2/29/2020
ASH5729,,ac9121,KPHX,KSBA,2/29/2020
JBU2983,,a22ab9,KBOS,KRDU,2/29/2020
DAL1167,,ac508b,KDCA,KDTW,2/29/2020
AAL2444,,ad20f4,KDFW,KSTL,2/29/2020
ASH5816,,a23c2e,KDFW,4IA8,2/29/2020
DAL1217,,ac3477,KATL,KMCI,2/29/2020
NKS179,,a81163,KORD,KAUS,2/29/2020
AAL2543,,aced23,KLAX,KDFW,2/29/2020
AAL1147,,a7178c,KPHX,KMIA,2/29/2020
AAL2403,,acf5be,KDFW,KATL,2/29/2020
DAL2506,,a3323d,KATL,KBOS,2/29/2020
AAL2471,,ad4fe1,KDFW,KRIR,2/29/2020
SWA3778,,a9fb9d,KSFO,KLAS,2/29/2020
AAL2100,,a886bf,KDTW,KPHX,2/29/2020
AAL36,,ab4e94,KDFW,LEMD,2/29/2020
DAL1373,,ad2384,KATL,,2/29/2020
FFT2882,,a3e55a,KPHX,KMKE,2/29/2020
SIA11,,76cee2,KLAX,WIDD,2/29/2020
EDV5442,,a89f80,KATL,,2/29/2020
ASH6123,,ac2bb6,KIAH,KDTW,2/29/2020
SKW5377,,a07311,KSFO,KPHX,2/29/2020
UAL662,,a62f93,KORD,KRSW,2/29/2020
DAL1136,,a446b6,KATL,KLAS,2/29/2020
AAL2868,,a4afbe,KDFW,KDFW,2/29/2020
NKS869,,acce3c,KDFW,KLAX,2/29/2020
AAL1954,,a08efd,KDCA,KMIA,2/29/2020
JBU1885,,a2b622,KBOS,7PS7,2/29/2020
NKS680,,a93e7f,KIAH,KFLL,2/29/2020
SWA3887,,ad1a4e,KPHX,CO12,2/29/2020
ASA1908,,a6a882,KSFO,KLAS,2/29/2020
AAL2655,,a0ade2,KDFW,60CO,2/29/2020
ASA1923,,a2d745,KLAX,KSFO,2/29/2020
UAL2055,,ac234f,KSFO,KPDX,2/29/2020
KAL283,,71be39,PANC,KORD,2/29/2020
DAL2869,,a008c5,KDTW,KISM,2/29/2020
AAL163,,a05776,KDCA,KLAX,2/29/2020
CPZ6017,,a1d873,KLAX,,2/29/2020
ENY4186,,a243cb,KORD,KTUL,2/29/2020
UAL2000,,a3a082,KPHX,KORD,2/29/2020
DAL1810,,ac8588,KATL,KSDF,2/29/2020
AAL1359,,a7101e,KORD,KPHL,2/29/2020
