callsign,,icao24,origin,destination,firstseen
UAL2294,,a5ea5c,KSEA,KSFO,2/1/2020
AAL2733,,aaffa2,KLAX,KDFW,2/1/2020
QXE2903,,a8469e,KSEA,KPDX,2/1/2020
SWA1363,,ad41cd,KSEA,KSJC,2/1/2020
SWA1721,,a5ee51,KLAX,KLAS,2/1/2020
AAL2300,,a09cad,KORD,KDFW,2/1/2020
UAL1044,,a0acf8,KIAH,KLAS,2/1/2020
AAL1456,,ad526c,KDFW,KBOS,2/1/2020
AAL536,,ad63a1,KPHX,KSJC,2/1/2020
ASA24,,a61b4e,KSEA,KBOS,2/1/2020
AAL578,,a6d9c3,KPHX,KSEA,2/1/2020
UAL2119,,aae757,KIAH,KDFW,2/1/2020
UAL1578,,a43eed,KIAH,KBOS,2/1/2020
AAL42,,a0d561,KLAX,KPHL,2/1/2020
QXE2170,,a8881e,KLAX,KSJC,2/1/2020
UAL2155,,a44544,KIAH,KORD,2/1/2020
UAL480,,a3f621,KIAH,KFLL,2/1/2020
DAL2708,,a057c7,KIAH,KJFK,2/1/2020
AAL1172,,ad0d35,KORD,KBOS,2/1/2020
AAL184,,a01fee,KLAX,KJFK,2/1/2020
AAL1766,,ace5bc,KPHX,KDFW,2/1/2020
DAL2731,,a44943,KLAX,KSEA,2/1/2020
AAL2585,,a06646,KDFW,KORD,2/1/2020
UAL1700,,a46cc1,KIAH,KSFO,2/1/2020
ASA445,,a8233e,KLAX,KSEA,2/1/2020
SWA557,,a5e0d3,KPHX,KSJC,2/1/2020
NKS425,,a8d6de,KORD,KFLL,2/1/2020
AAL844,,a9819b,KORD,KPHL,2/1/2020
ASA667,,a35975,KDFW,KSEA,2/1/2020
QXE2499,,a4dd02,KSEA,KPDX,2/1/2020
CPZ5781,,a81df5,KSEA,KSJC,2/1/2020
EDV5223,,a32f82,KORD,KJFK,2/1/2020
JBU714,,a7de53,KDFW,KBOS,2/1/2020
AAL2860,,ac82f8,KPHX,KPDX,2/1/2020
DAL1544,,a36f7e,KORD,KSEA,2/1/2020
DAL1862,,a042db,KDTW,KDFW,2/1/2020
AAL2235,,ac390f,KDFW,KDEN,2/1/2020
ASA1949,,a6b435,KLAX,KSFO,2/1/2020
DAL2682,,ac9abc,KDTW,KSEA,2/1/2020
AAL1557,,ada296,KORD,KFLL,2/1/2020
NKS719,,a93ac8,KSEA,KLAS,2/1/2020
DAL2885,,a3dc34,KDTW,KORD,2/1/2020
AAL1430,,a0cdf3,KDFW,KSFO,2/1/2020
AAL425,,a8d5bd,KPHX,KLAS,2/1/2020
CPZ6026,,a1c229,KLAX,KSJC,2/1/2020
CAL5261,,899103,KDFW,KSEA,2/1/2020
AAL686,,a6c120,KPHX,KSFO,2/1/2020
QXE2175,,a81f1f,KSEA,KPDX,2/1/2020
SWA1387,,aa97d1,KPHX,KLAS,2/1/2020
JBU1106,,a1d096,KORD,KJFK,2/1/2020
ASA84,,a2919a,PANC,KSEA,2/1/2020
AAL2433,,acbf63,KDFW,KPDX,2/1/2020
RPA5899,,ac26cf,KDTW,KSDF,2/1/2020
AAL364,,ace6e2,KDFW,KSJC,2/1/2020
LOF4792,,ab9325,KORD,KSDF,2/1/2020
UAL2199,,ab7067,KDFW,KORD,2/1/2020
DAL1832,,a4a484,KSEA,KSFO,2/1/2020
AAL1771,,a13c73,KDFW,KLAS,2/1/2020
DAL1550,,a03f24,KSEA,KSJC,2/1/2020
AAL248,,ad9811,KLAX,KLAS,2/1/2020
AAL1241,,a101c3,KDFW,KSEA,2/1/2020
SKW4011,,a2355d,KSEA,KPDX,2/1/2020
UAL2264,,a923a7,KIAH,KSFO,2/1/2020
DAL1237,,a3f04a,KDTW,KBOS,2/1/2020
UAL2297,,a8856d,KORD,KFLL,2/1/2020
ASA1754,,a535c2,KSEA,KSFO,2/1/2020
EDV4899,,acfe09,KDTW,KJFK,2/1/2020
DAL2519,,a8e37c,KDTW,KFLL,2/1/2020
DAL2930,,ab5c69,KDTW,KSFO,2/1/2020
DAL1678,,a3f133,KLAX,KDFW,2/1/2020
AAL934,,a0d90c,KDFW,KFLL,2/1/2020
SWA1918,,a5f5bf,KLAX,KSJC,2/1/2020
DAL1554,,a44a6d,KDTW,KLAS,2/1/2020
AAL1933,,a1427f,KPHX,KORD,2/1/2020
ASA699,,a28a2c,KIAH,KSEA,2/1/2020
AAL354,,a0a7a0,KLAX,KDFW,2/1/2020
CPZ5705,,a7f676,KLAX,KSJC,2/1/2020
SKW3059,,a7d7b5,KDTW,KORD,2/1/2020
SWA1926,,aaad8f,KLAX,KLAS,2/1/2020
ASA26,,a33964,KSEA,KORD,2/1/2020
ASA1203,,a4194d,KORD,KSFO,2/1/2020
QXE2203,,a54fc8,KSEA,KSEA,2/1/2020
UAL1790,,aa7e51,KIAH,KSJC,2/1/2020
DAL3041,,ac5fad,KDTW,KPDX,2/1/2020
ASA1170,,ab856c,KLAX,KLAS,2/1/2020
RPA5912,,a1acdb,KORD,KBOS,2/1/2020
NKS1168,,ac77d0,KPHX,KORD,2/1/2020
UAL2076,,a94bff,KIAH,KDEN,2/1/2020
UAL518,,aa568e,KORD,KPDX,2/1/2020
NKS500,,acb599,KIAH,KORD,2/1/2020
DAL2803,,a39e7e,KLAX,KSFO,2/1/2020
DAL890,,a37335,KSEA,KORD,2/1/2020
SWA2207,,a23d25,KPHX,KLAS,2/1/2020
AAL1095,,addf01,KLAX,KSFO,2/1/2020
UAL1765,,a2b081,KIAH,KLAS,2/1/2020
ASA21,,a5db2c,KORD,KSEA,2/1/2020
AAL1253,,ad5398,KORD,KSFO,2/1/2020
UAL599,,a81001,KORD,KLAS,2/1/2020
ASA1799,,ace785,KLAX,KPDX,2/1/2020
UAL2129,,a5f938,KPHX,KSFO,2/1/2020
SWA1979,,a1ea70,KSEA,KLAS,2/1/2020
NKS199,,a7f762,KIAH,KLAS,2/1/2020
ASA1791,,a784d5,KLAX,KPDX,2/1/2020
UAL2131,,a0acfd,KIAH,KORD,2/1/2020
ASH6143,,ac2b8e,KIAH,KDFW,2/1/2020
UAL632,,a4cfd3,KLAX,KSFO,2/1/2020
AAL789,,acb470,KORD,KSEA,2/1/2020
UAL1844,,a4460d,KIAH,KSFO,2/1/2020
UAL481,,a5bccd,KLAX,KSFO,2/1/2020
SWA1493,,aaac18,KLAX,KLAS,2/1/2020
AAL2682,,ad99fc,KORD,KBOS,2/1/2020
JSX413,,a28392,KPHX,KLAS,2/1/2020
AAL714,,a16bef,KDFW,KPHL,2/1/2020
UAL2048,,a92362,KLAX,KLAS,2/1/2020
UAL1742,,aa1368,KORD,KSFO,2/1/2020
AAL2506,,acc31a,KORD,KPHL,2/1/2020
CPZ6015,,a19e61,KLAX,KSJC,2/1/2020
ASH5939,,a23c2e,KDFW,KSDF,2/1/2020
AAL2515,,a15703,KDFW,KJFK,2/1/2020
AAL2785,,ad7ece,KLAX,KLAS,2/1/2020
AAL1294,,a6ec56,KDFW,KORD,2/1/2020
AAL2465,,ad8895,KORD,KLAS,2/1/2020
SKW3415,,a4b96d,KLAX,KSJC,2/1/2020
UPS859,,a38a21,KPHX,KSDF,2/1/2020
AAL1890,,ad20f4,KDFW,KBOS,2/1/2020
NKS903,,a65170,KORD,KDFW,2/1/2020
DAL1729,,a44197,KLAX,KLAS,2/1/2020
UAL214,,a58a29,KSEA,KSFO,2/1/2020
FFT1419,,a9768a,KORD,KLAS,2/1/2020
AAL41,,acc95c,KORD,KDFW,2/1/2020
AAL2776,,ac7103,KLAX,KORD,2/1/2020
ASA136,,a2e806,PANC,KSEA,2/1/2020
AAL2093,,a16a02,KDFW,KPHL,2/1/2020
SWA2155,,aac4bb,KLAX,KSJC,2/1/2020
DAL1562,,a486cc,KPHX,KSEA,2/1/2020
